熟語,意味,ジャンル
一右,意味なし,none
一雨,意味なし,none
一円,いちえん,number
一王,意味なし,none
一音,意味なし,none
一下,いっか/一度に,general
一火,意味なし,none
一花,意味なし,none
一貝,意味なし,none
一学,意味なし,none
一気,いっき,general
一九,意味なし,none
一休,ひとやすみ,general
一玉,意味なし,none
一金,意味なし,none
一空,意味なし,none
一月,いちがつ,number
一犬,意味なし,none
一見,いっけん,general
一五,意味なし,none
一口,ひとくち,number
一校,意味なし,none
一左,意味なし,none
一三,意味なし,none
一山,ひとやま,general
一子,意味なし,none
一四,意味なし,none
一糸,意味なし,none
一字,意味なし,none
一耳,意味なし,none
一七,意味なし,none
一車,意味なし,none
一手,ひとて,number
一十,意味なし,none
一出,意味なし,none
一女,意味なし,none
一小,意味なし,none
一上,意味なし,none
一森,意味なし,none
一人,ひとり,number
一水,意味なし,none
一正,意味なし,none
一生,いっしょう,number
一青,意味なし,none
一夕,意味なし,none
一石,いっせき,general
一赤,意味なし,none
一千,いっせん,number
一川,意味なし,none
一先,意味なし,none
一早,意味なし,none
一草,意味なし,none
一足,意味なし,none
一村,いっそん,general
一大,いちだい,general
一男,意味なし,none
一竹,意味なし,none
一中,いっちゅう,general
一虫,意味なし,none
一町,意味なし,none
一天,いってん,general
一田,意味なし,none
一土,意味なし,none
一二,いちに,number
一日,ついたち・いちにち,number
一入,ひとしお,general
一年,いちねん,number
一白,いっぱく,general
一八,いっぱち,number
一百,いっぴゃく,number
一文,いちもん,number
一木,意味なし,none
一本,いっぽん,number
一名,いちめい,number
一目,ひとめ,number
一立,いちりつ,general
一力,いちりき,general
一林,意味なし,none
一六,いちろく,number
右一,意味なし,none
右雨,意味なし,none
右円,意味なし,none
右王,意味なし,none
右音,意味なし,none
右下,意味なし,none
右火,意味なし,none
右花,意味なし,none
右貝,意味なし,none
右学,意味なし,none
右気,意味なし,none
右九,意味なし,none
右休,意味なし,none
右玉,意味なし,none
右金,意味なし,none
右空,意味なし,none
右月,意味なし,none
右犬,意味なし,none
右見,意味なし,none
右五,意味なし,none
右口,意味なし,none
右校,意味なし,none
右左,みぎひだり,general
右三,意味なし,none
右山,みぎやま,general
右子,意味なし,none
右四,意味なし,none
右糸,意味なし,none
右字,意味なし,none
右耳,みぎみみ,general
右七,意味なし,none
右車,意味なし,none
右手,みぎて,general
右十,意味なし,none
右出,意味なし,none
右女,意味なし,none
右小,意味なし,none
右上,意味なし,none
右森,意味なし,none
